Zone Name;Country Iso;All ranges;Zip code from;Zip code to
ZONE 3- LATVIA;LV;0;LV-3298;LV-3298
ZONE 3- LATVIA;LV;0;LV-3306;LV-3306
ZONE 3- LATVIA;LV;0;LV-3307;LV-3307
ZONE 3- LATVIA;LV;0;LV-3308;LV-3308
ZONE 3- LATVIA;LV;0;LV-3309;LV-3310
ZONE 3- LATVIA;LV;0;LV-3311;LV-3311
ZONE 3- LATVIA;LV;0;LV-3312;LV-3314
ZONE 3- LATVIA;LV;0;LV-3315;LV-3315
ZONE 3- LATVIA;LV;0;LV-3317;LV-3317
ZONE 3- LATVIA;LV;0;LV-3319;LV-3324
ZONE 3- LATVIA;LV;0;LV-3325;LV-3325
ZONE 3- LATVIA;LV;0;LV-3326;LV-3326
ZONE 3- LATVIA;LV;0;LV-3328;LV-3329
ZONE 3- LATVIA;LV;0;LV-3330;LV-3330
ZONE 3- LATVIA;LV;0;LV-3331;LV-3331
ZONE 3- LATVIA;LV;0;LV-3332;LV-3333
ZONE 3- LATVIA;LV;0;LV-3430;LV-3430
ZONE 3- LATVIA;LV;0;LV-3431;LV-3431
ZONE 3- LATVIA;LV;0;LV-3433;LV-3436
ZONE 3- LATVIA;LV;0;LV-3438;LV-3438
ZONE 3- LATVIA;LV;0;LV-3440;LV-3441
ZONE 3- LATVIA;LV;0;LV-3442;LV-3442
ZONE 3- LATVIA;LV;0;LV-3443;LV-3447
ZONE 3- LATVIA;LV;0;LV-3452;LV-3453
ZONE 3- LATVIA;LV;0;LV-3454;LV-3454
ZONE 3- LATVIA;LV;0;LV-3455;LV-3457
ZONE 3- LATVIA;LV;0;LV-3461;LV-3461
ZONE 3- LATVIA;LV;0;LV-3462;LV-3462
ZONE 3- LATVIA;LV;0;LV-3463;LV-3464
ZONE 3- LATVIA;LV;0;LV-3465;LV-3465
ZONE 3- LATVIA;LV;0;LV-3466;LV-3466
ZONE 3- LATVIA;LV;0;LV-3471;LV-3471
ZONE 3- LATVIA;LV;0;LV-3472;LV-3472
ZONE 3- LATVIA;LV;0;LV-3473;LV-3473
ZONE 3- LATVIA;LV;0;LV-3474;LV-3474
ZONE 3- LATVIA;LV;0;LV-3475;LV-3475
ZONE 3- LATVIA;LV;0;LV-3476;LV-3476
ZONE 3- LATVIA;LV;0;LV-3477;LV-3477
ZONE 3- LATVIA;LV;0;LV-3480;LV-3480
ZONE 3- LATVIA;LV;0;LV-3481;LV-3481
ZONE 3- LATVIA;LV;0;LV-3482;LV-3482
ZONE 3- LATVIA;LV;0;LV-3484;LV-3485
ZONE 3- LATVIA;LV;0;LV-3486;LV-3486
ZONE 3- LATVIA;LV;0;LV-3487;LV-3487
ZONE 3- LATVIA;LV;0;LV-3611;LV-3611
ZONE 3- LATVIA;LV;0;LV-3612;LV-3615
ZONE 3- LATVIA;LV;0;LV-3616;LV-3616
ZONE 3- LATVIA;LV;0;LV-3617;LV-3617
ZONE 3- LATVIA;LV;0;LV-3619;LV-3621
ZONE 3- LATVIA;LV;0;LV-3622;LV-3622
ZONE 3- LATVIA;LV;0;LV-3623;LV-3624
ZONE 3- LATVIA;LV;0;LV-3626;LV-3627
ZONE 3- LATVIA;LV;0;LV-3706;LV-3706
ZONE 3- LATVIA;LV;0;LV-3707;LV-3707
ZONE 3- LATVIA;LV;0;LV-3708;LV-3708
ZONE 3- LATVIA;LV;0;LV-3709;LV-3711
ZONE 3- LATVIA;LV;0;LV-3712;LV-3712
ZONE 3- LATVIA;LV;0;LV-3713;LV-3714
ZONE 3- LATVIA;LV;0;LV-3715;LV-3720
ZONE 3- LATVIA;LV;0;LV-3721;LV-3721
ZONE 3- LATVIA;LV;0;LV-3722;LV-3725
ZONE 3- LATVIA;LV;0;LV-3727;LV-3727
ZONE 3- LATVIA;LV;0;LV-3728;LV-3732
ZONE 3- LATVIA;LV;0;LV-3851;LV-3853
ZONE 3- LATVIA;LV;0;LV-3861;LV-3864
ZONE 3- LATVIA;LV;0;LV-3871;LV-3871
ZONE 3- LATVIA;LV;0;LV-3872;LV-3872
ZONE 3- LATVIA;LV;0;LV-3873;LV-3873
ZONE 3- LATVIA;LV;0;LV-3875;LV-3876
ZONE 3- LATVIA;LV;0;LV-3877;LV-3877
ZONE 3- LATVIA;LV;0;LV-3880;LV-3880
ZONE 3- LATVIA;LV;0;LV-3881;LV-3881
ZONE 3- LATVIA;LV;0;LV-3882;LV-3883
ZONE 3- LATVIA;LV;0;LV-3884;LV-3884
ZONE 3- LATVIA;LV;0;LV-3890;LV-3891
ZONE 3- LATVIA;LV;0;LV-3892;LV-3892
ZONE 3- LATVIA;LV;0;LV-3893;LV-3897
ZONE 3- LATVIA;LV;0;LV-3898;LV-3898
ZONE 3- LATVIA;LV;0;LV-3899;LV-3899
ZONE 3- LATVIA;LV;0;LV-3905;LV-3905
ZONE 3- LATVIA;LV;0;LV-3906;LV-3908
ZONE 3- LATVIA;LV;0;LV-3909;LV-3911
ZONE 3- LATVIA;LV;0;LV-3912;LV-3912
ZONE 3- LATVIA;LV;0;LV-3913;LV-3917
ZONE 3- LATVIA;LV;0;LV-3918;LV-3918
ZONE 3- LATVIA;LV;0;LV-3921;LV-3921
ZONE 3- LATVIA;LV;0;LV-3922;LV-3922
ZONE 3- LATVIA;LV;0;LV-3924;LV-3926
ZONE 3- LATVIA;LV;0;LV-3927;LV-3927
ZONE 3- LATVIA;LV;0;LV-3929;LV-3929
ZONE 3- LATVIA;LV;0;LV-3930;LV-3931
ZONE 3- LATVIA;LV;0;LV-3932;LV-3932
ZONE 3- LATVIA;LV;0;LV-3933;LV-3936
ZONE 3- LATVIA;LV;0;LV-3937;LV-3937
ZONE 3- LATVIA;LV;0;LV-4004;LV-4004
ZONE 3- LATVIA;LV;0;LV-4005;LV-4005
ZONE 3- LATVIA;LV;0;LV-4010;LV-4013
ZONE 3- LATVIA;LV;0;LV-4014;LV-4014
ZONE 3- LATVIA;LV;0;LV-4020;LV-4020
ZONE 3- LATVIA;LV;0;LV-4021;LV-4021
ZONE 3- LATVIA;LV;0;LV-4022;LV-4023
ZONE 3- LATVIA;LV;0;LV-4025;LV-4025
ZONE 3- LATVIA;LV;0;LV-4030;LV-4030
ZONE 3- LATVIA;LV;0;LV-4032;LV-4032
ZONE 3- LATVIA;LV;0;LV-4033;LV-4033
ZONE 3- LATVIA;LV;0;LV-4034;LV-4034
ZONE 3- LATVIA;LV;0;LV-4035;LV-4035
ZONE 3- LATVIA;LV;0;LV-4040;LV-4040
ZONE 3- LATVIA;LV;0;LV-4041;LV-4041
ZONE 3- LATVIA;LV;0;LV-4043;LV-4043
ZONE 3- LATVIA;LV;0;LV-4044;LV-4044
ZONE 3- LATVIA;LV;0;LV-4050;LV-4050
ZONE 3- LATVIA;LV;0;LV-4051;LV-4051
ZONE 3- LATVIA;LV;0;LV-4052;LV-4052
ZONE 3- LATVIA;LV;0;LV-4054;LV-4054
ZONE 3- LATVIA;LV;0;LV-4055;LV-4055
ZONE 3- LATVIA;LV;0;LV-4060;LV-4060
ZONE 3- LATVIA;LV;0;LV-4061;LV-4062
ZONE 3- LATVIA;LV;0;LV-4063;LV-4064
ZONE 3- LATVIA;LV;0;LV-4065;LV-4065
